drug_1,drug_2,pt,final_outcome,case_count,support,confidence,lift
CLOBAZAM,LEVETIRACETAM,Status epilepticus,Moderate,5,0.0008,0.03,9.23
LAMOTRIGINE,ZOLPIDEM,Condition aggravated,Moderate,6,0.001,0.12,9.11
AZATHIOPRINE,PREDNISOLONE,Therapy non-responder,Moderate,20,0.0034,0.11,8.64
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Pneumonia cytomegaloviral,Moderate,6,0.001,0.02,8.26
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Transplant rejection,Moderate,19,0.0032,0.03,7.88
LACOSAMIDE,LEVETIRACETAM,Status epilepticus,Moderate,7,0.0012,0.02,7.6
LAMOTRIGINE,LEVETIRACETAM,Maternal exposure during pregnancy,Moderate,10,0.0017,0.05,7.41
VALPROIC ACID,LEVETIRACETAM,Thrombocytopenia,Moderate,5,0.0008,0.04,7.4
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Infection,Moderate,7,0.0012,0.02,7.06
LAMOTRIGINE,LEVETIRACETAM,Seizure,Moderate,8,0.0013,0.04,6.86
PHENYTOIN,TOPIRAMATE,Drug ineffective,Moderate,9,0.0015,0.47,6.82
LACOSAMIDE,LEVETIRACETAM,Pancreatitis acute,Serious,5,0.0008,0.02,6.45
GABAPENTIN,BACLOFEN,Fall,Serious,6,0.001,0.06,6.43
CLOBAZAM,LEVETIRACETAM,Maternal exposure during pregnancy,Moderate,8,0.0013,0.05,6.38
MYCOPHENOLATE MOFETIL,PREDNISOLONE,COVID-19 pneumonia,Serious,8,0.0013,0.01,6.16
LACOSAMIDE,LEVETIRACETAM,Generalised tonic-clonic seizure,Moderate,5,0.0008,0.02,6.07
LACOSAMIDE,PHENOBARBITAL,Drug ineffective,Moderate,8,0.0013,0.42,6.07
TOPIRAMATE,RITUXIMAB,Pneumonia,Moderate,5,0.0008,0.03,6.01
PHENYTOIN,IBUPROFEN,Drug ineffective,Moderate,16,0.0027,0.4,5.76
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Pneumocystis jirovecii pneumonia,Moderate,9,0.0015,0.02,5.71
